id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,popularity_group
442978,Chuggington - Action Stations!,0.0,0,Released,2010-09-17,0,0,False,/7Z8SiEyzBvW5GRLVzG3s26D2g2i.jpg,0,,,en,Chuggington - Action Stations!,,0.6,,,Animation,,,Polish,0-2
605594,The Paperboy,8.0,1,Released,2000-01-01,0,8,False,,0,,,en,The Paperboy,A young paper boy goes through his early morning delivery routine.,0.727,/mWibeKK3GQ4ZoGdzPMfUjTGVmrg.jpg,,"Family, Animation",Weston Woods Studios,United States of America,English,0-2
768483,Minotaur,0.0,0,Released,2016-05-04,0,9,False,,0,https://www.karlisvitols.com,tt7604720,xx,Mīnotaurs,"The story of a small Minotaur who tries to find playmates in the endless labyrinth while his Dad is at work. He only manages to meet mythological characters, busy with their own ambitions.",0.6,/32Ej6wwvkWOXfahHfWQ8UK0BLry.jpg,,Animation,Air Productions (LV),Latvia,,0-2
712071,Kapaemahu,5.7,7,Released,2020-04-18,0,9,False,/itbJFYFdnASthGWP2eQbCSP5pMq.jpg,0,https://www.kapaemahu.com,tt11973904,en,Kapaemahu,"Long ago, four extraordinary beings of dual male and female spirit, led by Kapaemahu, brought certain healing arts from Tahiti to Hawaii and were loved by the people for their gentle ways and the miraculous cures they performed.",0.689,/bHutQ8dwBMRk8dEivg5ILTIJPQd.jpg,,"Animation, Drama, Fantasy","Kanaka Pakipika, PIC",United States of America,,0-2
809012,Gone in 60 Parsecs,0.0,0,Released,2011-08-23,0,2,False,/gOaLDaHu8CdM4wdnDTG3ionPXjc.jpg,0,,tt14296342,en,Gone in 60 Parsecs,Wile E. Coyote discovers a top secret Area 51 hatch and found a flying space saucer he rides in to better catch the Road Runner.,0.6,/6txjNJyi53TrTdwoLux6CXekjJd.jpg,,"Animation, Comedy, Family",Crew 972,United States of America,,0-2
708316,The Farmer and his Cat,5.0,1,Released,1922-06-18,0,5,False,,0,,tt0146735,en,The Farmer and his Cat,Entry in the Eastman Kodak Stores Series of Aesop Fables Cartoon Comedies.,0.6,,,Animation,,,,0-2
755513,Histórias Migratórias,0.0,0,Released,2020-02-01,0,0,False,/iXqorGWyQFA9csyZ8I9OiJ1Xs7j.jpg,0,,,pt,Histórias Migratórias,,0.6,/75XefZQFN5GPj720ESbiWjdxWzP.jpg,,Animation,Afrodite Produções,Brazil,,0-2
291358,Grandma's Encyclopaedia,5.6,12,Released,1965-02-08,0,7,False,,0,,tt0057033,fr,L'encyclopedie de grand-maman en 13 volumes,"A short film by Walerian Borowczyk. This first volume looks at the first three letters in Grandma's encyclopaedia: A for 'Automobile', B for 'Ballon', and C for 'Chemin de fer'.",1.092,/d5Q6q58NRSvGvZ8i4PJ10FjDKIo.jpg,,Animation,Les Cinéastes Associés,France,No Language,0-2
1043232,Ink,0.0,0,Released,2021-03-29,0,3,False,,0,,,en,Ink,"INK is an animated short film about a young person on the spectrum and his inner thoughts on his current life. Created during lockdown this animation explores life being Disabled/Neurodivergent, Mental health and the beauty and importance of creativity.",0.6,,,"Animation, Documentary",,United Kingdom,English,0-2
710755,Little Thinks,0.0,0,Released,2019-09-21,0,5,False,,0,,,en,Little Thinks,We can see things differently when we see things from different angles.,0.6,/1cyncUQ9PxaRBVFb5wuGWPpWvD6.jpg,,"Animation, Drama, Family",,Hong Kong,,0-2
361708,The Snowmen,0.0,0,Released,1986-09-27,0,10,False,,0,,,ru,Снегурята,About the miracles that happen on the eve of the new year.,0.84,/o0s6xf19kiPNKueRSuDJCGXwCpc.jpg,,Animation,Kuybyshev Telefilm,Soviet Union,Russian,0-2
766041,Grandma's Pie,0.0,0,Released,2018-06-15,0,3,False,,0,,tt8569038,en,Grandma's Pie,A hungry dragon chases after an oblivious grandma that is too focused on making her favorite apple pie to notice the death and destruction going on around her...,0.6,/jliDggo0bvaGvKH2EV3EtVNPNS3.jpg,,"Animation, Comedy",,United States of America,,0-2
477189,Tokai no Butchy,0.0,0,Released,1995-06-29,0,13,False,,0,,,en,Tokai no Butchy,Short anime made by Tezuka Productions.,0.6,/qi34HWU3ZOGXpgWN5VHIdED7pxy.jpg,,"Animation, Romance, Music",Tezuka Productions,Japan,Japanese,0-2
951659,A Bas,0.0,0,Released,2011-09-08,0,1,False,,0,,,fr,A Bas,"Two young thugs want to try out their graffiti skills, but their illiteracy quickly catches up with them.",0.6,/nU800ZOX8OKGeuO6Pa4l86DXbA2.jpg,,Animation,Gobelins,France,French,0-2
